serialNum,uniqueCode,userName
117,APWGDLO02,ONKAR SRI JAGANNADH TRADERS
118,APWGDLS145,S V S CEMENTS AND STEELS
119,APWGDLS59,Sri Lakshmi Enterprises
120,APWGDLS46,SRI LAKSHMI ENTERPRISES
121,APWGDLG05,GODAVARI STEELS
122,APWGDLS85,SRI PAVANI ENTERPRISES
123,APWGDLS178,SRI ANJANEYA TRADERS
124,APWGDLD09,DURGESWARI TRADERS
125,APWGDLS173,SWATHI TRADERS
126,APWGDLS169,SRI AYYAPPA GENERAL STORES
127,APWGDLS172,SATYA SURYA TRADERS
128,APWGDLS149,SRI SRINIVASA TRADERS
129,APWGDLS129,SRI CEMENT SHOP
130,APWGDLV07,VENUGOPAL AGRO AGENCIES
131,APWGDLS143,SRI LAKHMI GANESH CEMENT AND IRON GENERAL STORES
132,APWGDLS138,SRI VIJAYA DURGA GENERAL STORES
133,APWGDLS71,SRI JAYALAXMI AGENCIES
134,APWGDLB09,BHANU TRADERS
135,APWGDLS19,SRI VIJALAKSHMI TRADERS
136,APWGDLS175,SIVA SAI STEELS
137,APWGDLS118,SRI DURGA TRADERS
138,APWGDLT09,TEJA ENTERPRISES
139,APWGDLS157,Sri Venkata Suryambica Enterprises
140,APWGDLN04,NADIMPALLI SATYANARAYANA RAJU MARKETING
141,APWGDLS123,SRI LAKSHMI VENKATESWARA ENTERPRISES
142,APWGDLP08,P R V TRADERS
143,APWGDLS168,SRI KOVVURAMMA TRADERS
144,APWGDLG02,GANESH TRADERS
145,APWGDLC02,COMPLEX ERUVULA DEPOT
146,APWGDLV20,VINAYAKA CEMENT AND GENERAL STORES
147,APWGDLR08,RSA GENERAL STORE
148,APWGDLS164,SRI LAKSHMI VENKATESWARA FERTILISERS
149,APWGDLV16,vaishnavi traders
150,APWGDLK04,KANAKADURGA AGENCIES
151,APWGDLS163,S V MARKETING
152,APWGDLL10,LAKSHMI SRINIVASA TRADERS
153,APWGDLJ03,JAI CHIRANJEEVA AGENCIES
154,APWGDLS156,SRI SESHARATNAM STEELS
155,APWGDLK03,KYK TRADERS
156,APWGDLD08,DURGA TRADERS
157,APWGDLS57,Sri Maruthi Agencies
158,APWGDLS12,SATYA CEMENT AGENCIES
159,APWGDLS16,SRI SWAMYAYAPPA FERTILIZERS  PESTI.
160,APWGDLM09,MAHALAKSHMI STEEL ENTERPRISES
161,APWGDLS95,SRI RAMA STANDARD SUPPLERS
162,APWGDLD03,DURGA SAI SRINIVASA RICE  CEMENT GEN. ST.
163,APWGDLT01,T.V.S. GENERAL STORES
164,APWGDLS116,SRI MAHALAKSHMI GENERAL STORES
165,APWGDLL02,LAXMI HARDWARE & PAINTS STORES
166,APWGDLN06,NAVYA SRI TRADERS
167,APEGDLS245,SRI KARTIKEYA ENTERPRISES
168,APEGDLP06,PATTABI TRADERS - Kakinada
169,APEGDLS226,SANDHYA TRADERS
170,APEGDLG04,GANESH KRISHNA TRADERS - Pithapuram
171,APEGDLS155,SRI TIRUMALA MILL STORES.
172,APEGDLS139,SRI LAKSHMI DHIKSHITHA IRON CEMENT
173,APEGDLS172,SRI LAKSHMI SRINIVASA AGENCIES
174,APEGDLA03,ANANTHA LAKSHMI AGENCIES - Gollala Mamidada
175,APEGDLI01,ILLA SURYA RAO - Velangi
176,APEGDLK01,KAKARAPARTHI SRI SATYA HARANADH - Kakinada
177,APEGDLL13,LAKSHMI AGENCIES
178,APEGDLS153,SRI GOWTHAM AGENCIES
179,APEGDLS156,SRI SRINIVASA TRADERS
180,APEGDLS199,SRI KUMARI AGENCIES
181,APEGDLS213,SRI VIJAYA LAKSHMI AGENCY
182,APEGDLS214,SRI SRI MARUTHI AGENCIES
183,APEGDLS238,SRINIVASA STEELS
184,APEGDLS54,SRI VEERABHADRA ENTERPRISES - Vetlapalem
185,APEGDLS86,SRI KARTHIKEYA AGENCIES - Komaripalem
186,APEGDLV25,VIJAYA LAKSHMI ENTERPRISES
187,APEGDLS237,SRI DURGA CEMENT WORKS AND GENERAL TRADERS
188,APEGDLV36,VIJAYASAI ENTER PRISES
189,APEGDLS207,"SRI SAI PAVANI TRADERS,MALIKIPURAM"
190,APEGDLS190,SRI SIVA SAI STEELS & CEMENTS
191,APEGDLS158,SRI BALAJI ENTERPRISES
192,APEGDLS142,SRI LAKSHMI GANAPATHI GENERAL STORES
193,APEGDLS95,Sri Venkata Laxmi Agencies
194,APEGDLK07,KONASEEMA BUILDING MATERIALS
195,APEGDLS49,SHIRDHI SAI CEMENT  GENERAL STORES
196,APEGDLP09,PASUMARTHI VENKATESWARA RAO & CO
197,APEGDLD04,DHANALAKSHMI STEEL TRADERS
198,APEGDLS166,SRI SATYALAKSHMI GENERAL STORES
199,APEGDLS17,SRI LAKSHMI GANAPATHI GENERAL STORES
200,APEGDLS168,SRI MAHA LAKSHMI TRADERS
201,APEGDLV28,VASUNDARA DEVI CEMENT IRON & GENERAL STORES
202,APEGDLS151,SRI VEERA VENKATA LAKSHMI RICE CEMENT AND HARDWARE
203,APEGDLV20,VILLA SRINIVASA KUMAR
204,APEGDLS64,SRI RAMAM KRISHNA ENTERPRISES
205,APEGDLS180,SRI LAKSHMI NARASIMHA TRADERS
206,APEGDLP02,PADMAJA AGENCIES
207,APEGDLG02,GIRIJA TRADERS
208,APEGDLV24,VENKATESWARA CEMENTS
209,APEGDLK05,KANAKA DURGA TRADERS
210,APEGDLK11,KRISHNA AGENCIES
211,APEGDLG08,GIRIPRIYA IRON&CEMENT
212,APEGDLS77,SRI LAKSHMINARAYANA TRADERS
213,APEGDLS36,SRI VEERA LAKSHMI RAMYA KRISHNA AGENCIES
214,APEGDLS06,SRI DURGA DEVI AGENCIES
215,APWGDLA04,ANUDEEP AGENCIES-GANAPAVARAM
216,APWGDLB01,BHAGYALAKSHMI AGENCIES
217,APWGDLG07,GODAVARI ASSOCIATES
218,APWGDLK01,KARTHIKEYA TRADERS PRO SANDHANALA VENKATASWAMY NAIDU MUTYALAPALLI
219,APWGDLL09,LAKSHMI SATYASAI ENTERPRISES
220,APWGDLL12,LAKSHMI AGENCIES VALLURU
221,APWGDLP06,PVR STEELS
222,APWGDLS05,SRI SEETARAMA MEDICAL  GEN STORES
223,APWGDLS136,SRI SRINIVASA ENTERPRISES
224,APWGDLS154,SAIRAM TRADERS
225,APWGDLS165,SATYA LAKSHMI GENERAL STORE
226,APWGDLS170,SRI SRINIVASA TRADERS
227,APWGDLS84,SATYA AGENCIES
228,APWGDLT03,TANMAYEE AGENCIES
229,APWGDLT08,TAYARU LAKSHMI CEMENT & STEELS
230,APWGDLM10,MOHANA KRISHNA AGENCIES
231,APWGDLS93,Sai anjaneya traders
232,APEGDLS204,M/S SREE LAKSHMI SAINATHA AGENCIES RAJANAGARAM
233,APEGDLS243,SRI SRINIVASA ENTERPRISES
234,APEGDLS244,SIRI ENTERPRISES
235,APEGDLE01,ESWAR STEELS
236,APEGDLI03,INDHU AGRO AGENCIES
237,APEGDLS126,SRI DURGA AGENCIES
238,APEGDLS171,SRI KRISHNA AGRO CHEMICALS
239,APEGDLS184,SRI PADALAMMA LAXMI GANESH TRADERS
240,APEGDLS236,SRI VIJAYA DURGA STEELS
241,APEGDLS27,SRI VEERABHADRA AGENCIES
242,APEGDLV40,VENKATA SAI TRADERS
243,APEGDLA10,ANNAPURNA BUILDING MATERIALS
244,APEGDLL03,LAKSHMI TIRUMALA CEMENT  HARDWARA STORES - Kakinada
245,APEGDLL12,LAKSHMI AGENCIES
246,APEGDLN06,NARASIMHA ENTERPRISES
247,APEGDLS101,Sri Srinivasa Traders
248,APEGDLS161,SRI LEELA KRISHNA STEELS OTIMAMIDI
249,APEGDLS179,SRI MANGAL ENTERPRISES
250,APEGDLS186,SRI NAGA SAI DURGA ENTERPRISES
251,APEGDLS205,SRI GAYATRI HARDWARE & BUILDING MATERIALS
252,APEGDLS215,SRI DHARA SAI AGENCIES
253,APEGDLS216,SIRI ENTERPRISES
254,APEGDLS241,SRI SEETHARAMA AGENCIES
255,APEGDLV10,VEERABHADRA AGENCIES
256,APWGDLL07,lokeswari matha agencies Lankalakoderu
257,APKRDLA14,ASIF ENTERPRISES
258,APKRDLA15,AFZAL ENTERPRISES
259,APKRDLK05,K K MARKETING AGENCY
260,APKRDLM01,MOHANA KRISHNA IRON TRADERS
261,APKRDLM13,MANIKANTA TRADERS
262,APKRDLM16,MANIKANTA STEEL CEMENT AND HARDWARE
263,APKRDLP05,PANCHMUKH  SAI  ENTERPRISE
264,APKRDLS09,SRI HANUMAN AGENCIES
265,APKRDLS113,SRI AYYAPPA IRON AND CEMENT WORKS
266,APKRDLS117,SHANKAR ENTERPRISES
267,APKRDLS125,SRI VIGNESWARA AGENCIES
268,APKRDLS128,SRI SRINIVASA IRON & GENERAL STORES
269,APKRDLS130,SRINIVASA CEMENT WORKS
270,APKRDLS131,SAI SURYA TRADERS
271,APKRDLS136,SREE VENKATA SAIRAM AGENCIES
272,APKRDLS140,SRI SAI CEMENTS STEELS
273,APKRDLS143,SRI CHENNA KESAVA IRON HARDWARE AND GENERAL STORES 
274,APKRDLS15,SUDHAKAR ENTERPRISES
275,APKRDLS26,SRI SAI KRISHNA FERTILISERS
276,APKRDLS41,SRI VENKATA DURGA STEEL ENTERPRISES
277,APKRDLV12,VENKATESWARA CEMENT AND GENERAL STORES
278,APKRDLV25,VANADURGA CEMENT & METERIALS SUPPLIERS
279,APGUDLA05,ADDEPALLI SETA RAMANJANEYULU
280,APGUDLC07,CHEGU YUGANDHAR
281,APGUDLD10,DHANA LAKSHMI CEMENT STORES
282,APGUDLG06,GOKUL ENTERPRISES.
283,APGUDLG07,GVR TRADERS
284,APGUDLK10,KUNDHANA STEEL AND CEMENT
285,APGUDLL12,LAKSHMI PRASANNA ENTERPRISES
286,APGUDLL17,LAKSHMI DURGA CEMENT WORKS
